"","site","date","Ice","Pond","Open Water","All Water"
"42","cacana",2001-08-11,0.958,0.02,0.024,0.042
"43","cacana",2001-08-22,0.9565,NA,NA,0.0435
"44","cacana",2001-09-09,0.887662337662338,NA,NA,0.112337662337662
"45","cafram",1999-07-01,0.869375,NA,NA,0.130625
"46","cafram",1999-08-11,0.775692307692308,0.190769230769231,0.0334615384615385,0.224307692307692
"47","cafram",1999-08-23,0.815071047957371,0.15904973357016,0.0261190053285968,0.1849378330373
"48","cafram",2000-05-09,0.961818181818182,NA,NA,0.0381818181818182
"49","cafram",2000-05-16,0.951786833855799,NA,NA,0.0482131661442006
"50","cafram",2000-06-06,0.946925373134328,NA,NA,0.0530746268656716
"51","cafram",2000-06-14,0.9225,NA,NA,0.0775
"52","cafram",2000-06-21,0.916923076923077,NA,NA,0.0830769230769231
"53","cafram",2000-06-27,0.791583333333333,0.187722222222222,0.0204166666666667,0.208416666666667
"54","cafram",2000-08-07,0.95,NA,NA,0.05
"55","cafram",2000-08-08,0.765812672176309,0.0709366391184573,0.163168044077135,0.234187327823691
"56","cafram",2000-08-22,0.698571428571429,NA,NA,0.301428571428571
"57","cafram",2001-06-06,0.916545454545455,NA,NA,0.0834545454545454
"58","cafram",2001-06-11,0.853076923076923,NA,NA,0.146923076923077
"59","cafram",2001-06-17,0.897114754098361,NA,NA,0.102885245901639
"60","cafram",2001-06-24,0.876120996441281,0.0405338078291815,0.0829537366548043,0.123879003558719
"61","cafram",2001-06-30,0.809609375,0.0658203125,0.1244921875,0.190390625
"62","cafram",2001-07-13,0.750625,0.23875,0.01125,0.249375
"63","cafram",2001-07-20,0.616277056277056,0.202532467532468,0.181298701298701,0.383722943722944
"64","cafram",2001-07-27,0.715673469387755,0.211795918367347,0.0724489795918367,0.284326530612245
"65","cafram",2001-08-04,0.753453237410072,0.0564028776978417,0.190287769784173,0.246546762589928
"66","cafram",2001-08-05,0.79643216080402,NA,NA,0.20356783919598
"67","cafram",2001-08-07,0.836079734219269,0.0572757475083056,0.106445182724252,0.163953488372093
"68","cafram",2001-08-10,0.8371,NA,NA,0.1629
"69","cafram",2001-08-20,0.850432432432432,NA,NA,0.149567567567568
"70","cafram",2001-09-02,0.745357142857143,NA,NA,0.254642857142857
"71","esiber",2000-06-19,0.864875776397516,NA,NA,0.135124223602484
"72","esiber",2000-06-28,0.899225,NA,NA,0
"73","esiber",2000-07-04,0.718145695364238,0.159470198675497,0.122251655629139,0.281854304635762
"74","esiber",2000-07-06,0.619130434782609,NA,NA,0.380869565217391
"75","esiber",2000-07-13,0.531904761904762,0.167301587301587,0.301111111111111,0.468095238095238
"76","esiber",2000-07-28,0.663571428571429,0.112293233082707,0.223947368421053,0.336428571428571
"77","esiber",2000-08-27,0.779653846153846,0.130538461538462,0.0895769230769231,0.220346153846154
"78","esiber",2001-05-17,0.996422764227642,NA,NA,0.00357723577235772
"79","esiber",2001-06-20,0.8715625,NA,NA,0.1284375
"80","esiber",2001-07-01,0.782427983539095,0.0313168724279835,0.186008230452675,0.217572016460905
"81","esiber",2001-07-07,0.754550408719346,0.162506811989101,0.0829972752043597,0.245449591280654
"82","esiber",2001-07-24,0.796756756756757,0.184054054054054,0.0191891891891892,0.203243243243243
"83","esiber",2001-07-31,0.74,NA,NA,0.26
"84","esiber",2001-08-15,0.681866197183099,0.0933802816901408,0.224964788732394,0.318133802816901
